0,1,2,3,4,5,6
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",1.000,1.000,1.000,13
Amino acids and Peptides,Peptide alkaloids,Other indole diketopiperazine alkaloids,0.966,0.933,1.000,43
Amino acids and Peptides,Tetramate alkaloids,Pyrrocidine tetramate alkaloids,1.000,1.000,1.000,25
Amino acids and Peptides,Tetramate alkaloids,Cyclopiazonic acid-type tetramate alkaloids,1.000,1.000,1.000,24
Amino acids and Peptides,Mycosporine derivatives,Mycosporine and Mycosporine-like amino acids,1.000,1.000,1.000,27
Amino acids and Peptides,Oligopeptides,Aeruginosins,1.000,1.000,1.000,46
Amino acids and Peptides,Oligopeptides,Microginins,1.000,1.000,1.000,41
Amino acids and Peptides,Oligopeptides,Anabaenopeptins,0.976,0.952,1.000,38
Amino acids and Peptides,Oligopeptides,Microcystins,1.000,1.000,1.000,59
Amino acids and Peptides,Oligopeptides,Microcolins and mirabimides,1.000,1.000,1.000,16
Amino acids and Peptides,Oligopeptides,Tantazoles and mirabazoles,1.000,1.000,1.000,7
Amino acids and Peptides,Oligopeptides,Vancomycins and Teicoplanins,1.000,1.000,1.000,283
Amino acids and Peptides,Oligopeptides,Streptogramins,1.000,1.000,1.000,14
Amino acids and Peptides,Oligopeptides,Actinomycins,1.000,1.000,1.000,99
Amino acids and Peptides,β-lactams,Penicillins,1.000,1.000,1.000,101
Amino acids and Peptides,β-lactams,Cephalosporins,0.973,0.947,1.000,90
Amino acids and Peptides,β-lactams,Cephamycins,1.000,1.000,1.000,19
Amino acids and Peptides,β-lactams,Clavams,1.000,1.000,1.000,13
Amino acids and Peptides,β-lactams,Carbapenems,1.000,1.000,1.000,30
Amino acids and Peptides,β-lactams,Monocyclic β-lactams,1.000,1.000,1.000,3
Amino acids and Peptides,Oligopeptides,RiPPs-Amatoxins and Phallotoxins,1.000,1.000,1.000,8
Amino acids and Peptides,Oligopeptides,RiPPs-Bottromycins,1.000,1.000,1.000,4
Amino acids and Peptides,Oligopeptides,RiPPs-Lasso peptides,1.000,1.000,1.000,6
Amino acids and Peptides,Oligopeptides,RiPPs-Microcins,1.000,1.000,1.000,4
Amino acids and Peptides,Peptide alkaloids,Ansa peptide alkaloids,0.980,1.000,0.960,128
Amino acids and Peptides,Oligopeptides,Cyclic peptides,0.967,0.984,0.951,1232
Amino acids and Peptides,Oligopeptides,RiPPs-Thiopeptides,0.968,1.000,0.938,22
Amino acids and Peptides,Oligopeptides,Depsipeptides,0.960,0.985,0.937,671
Amino acids and Peptides,Amino acid glycosides,Glucosinolates,0.966,1.000,0.933,74
Amino acids and Peptides,Oligopeptides,Lipopeptides,0.929,0.929,0.929,284
Amino acids and Peptides,Oligopeptides,RiPPs-Lanthipeptides,0.962,1.000,0.926,17
Amino acids and Peptides,Cyclic polyketides,3-Decalinoyltetramic acids,0.960,1.000,0.923,67
Amino acids and Peptides,Oligopeptides,Linear peptides,0.927,0.935,0.918,247
Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,0.952,1.000,0.909,24
Amino acids and Peptides,Oligopeptides,Bleomycins,0.900,0.900,0.900,47
Amino acids and Peptides,Oligopeptides,Cryptophycins,0.917,1.000,0.846,36
Amino acids and Peptides,Oligopeptides,Peptaibols,0.917,1.000,0.846,66
Amino acids and Peptides,Small peptides,Dipeptides,0.859,0.880,0.838,531
Amino acids and Peptides,Small peptides,Aminoacids,0.883,0.935,0.837,486
Amino acids and Peptides,Linear polyketides,Melithiazole and Myxothiazole derivatives,0.909,1.000,0.833,23
Amino acids and Peptides,Linear polyketides,3-acyl tetramic acids,0.897,1.000,0.813,74
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",0.880,1.000,0.786,39
Amino acids and Peptides,Peptide alkaloids,Thiodiketopiperazine alkaloids,0.839,0.929,0.765,87
Amino acids and Peptides,Peptide alkaloids,Simple diketopiperazine alkaloids,0.857,1.000,0.750,28
Amino acids and Peptides,Small peptides,Tripeptides,0.819,0.919,0.739,231
Amino acids and Peptides,Amino acid glycosides,Cyanogenic glycosides,0.800,1.000,0.667,34
Amino acids and Peptides,Peptide alkaloids,Pyrazine and Piperazine alkaloids,0.682,0.938,0.536,142
Amino acids and Peptides,Oligopeptides,RiPPs-Cyanobactins,0.400,1.000,0.250,15
Carbohydrates,Polyols,Cyclitols,1.000,1.000,1.000,42
Carbohydrates,Nucleosides,Purine nucleos(t)ides,0.955,1.000,0.913,114
Carbohydrates,Nucleosides,Pyrimidine nucleos(t)ides,0.947,1.000,0.900,99
Carbohydrates,Saccharides,Disaccharides,0.842,0.889,0.800,32
Carbohydrates,Saccharides,Orthosomycins,0.889,1.000,0.800,18
Carbohydrates,Saccharides,Monosaccharides,0.848,0.933,0.778,92
Carbohydrates,"Aminosugars and
aminoglycosides",Aminoglycosides,0.714,0.667,0.769,58
Carbohydrates,Polyols,Amino cyclitols,0.851,1.000,0.741,121
Carbohydrates,"Aminosugars and
aminoglycosides",Aminosugars,0.776,0.864,0.704,127
Carbohydrates,Saccharides,Paulomycins and derivatives,0.800,1.000,0.667,16
Carbohydrates,Saccharides,Polysaccharides,0.714,1.000,0.556,51
Fatty acids,Fatty Acids and Conjugates,Methoxy fatty acids,0.966,0.933,1.000,32
Fatty acids,Fatty Acids and Conjugates,Nitro fatty acids,1.000,1.000,1.000,14
Fatty acids,Fatty Acids and Conjugates,Mycolic acids,1.000,1.000,1.000,130
Fatty acids,Octadecanoids,12-oxophytodienoic acid metabolites,1.000,1.000,1.000,9
Fatty acids,Octadecanoids,Phytoprostanes,1.000,1.000,1.000,14
Fatty acids,Octadecanoids,Phytofurans,1.000,1.000,1.000,4
Fatty acids,Eicosanoids,Leukotrienes,0.988,0.976,1.000,49
Fatty acids,Eicosanoids,Thromboxanes,1.000,1.000,1.000,11
Fatty acids,Eicosanoids,Lipoxins,1.000,1.000,1.000,7
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatrienoic acids,0.923,0.857,1.000,17
Fatty acids,Eicosanoids,Epoxyeicosatrienoic acids,1.000,1.000,1.000,8
Fatty acids,Eicosanoids,Hepoxilins,0.800,0.667,1.000,11
Fatty acids,Eicosanoids,Levuglandins,1.000,1.000,1.000,9
Fatty acids,Eicosanoids,Isofurans,1.000,1.000,1.000,8
Fatty acids,Eicosanoids,"Eicosa-1,2-dioxolanes",1.000,1.000,1.000,2
Fatty acids,Eicosanoids,Resolvin Es,0.941,0.889,1.000,9
Fatty acids,Eicosanoids,Clavulones,1.000,1.000,1.000,33
Fatty acids,Docosanoids,Neuroprostanes,1.000,1.000,1.000,40
Fatty acids,Docosanoids,"Docosa-1,2-dioxolanes",1.000,1.000,1.000,2
Fatty acids,Docosanoids,Resolvin Ds,1.000,1.000,1.000,8
Fatty acids,Fatty esters,Fatty acyl CoAs,1.000,1.000,1.000,265
Fatty acids,Fatty esters,Fatty acyl carnitines,1.000,1.000,1.000,90
Fatty acids,Fatty amides,Fatty acyl homoserine lactones,1.000,1.000,1.000,37
Fatty acids,Fatty acyls,Fatty ethers,1.000,1.000,1.000,3
Fatty acids,Fatty acyl glycosides,Sophorolipids,1.000,1.000,1.000,4
Fatty acids,Fatty acyl glycosides,Rhamnolipids,0.971,0.944,1.000,16
Fatty acids,Glycerolipids,Monoacylglycerols,1.000,1.000,1.000,53
Fatty acids,Glycerolipids,Glycosylmonoacylglycerols,1.000,1.000,1.000,7
Fatty acids,Glycerophospholipids,Glycerophosphocholines,1.000,1.000,1.000,1724
Fatty acids,Glycerophospholipids,Glycerophosphoserines,1.000,1.000,1.000,1219
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphates,1.000,1.000,1.000,3
Fatty acids,Glycerophospholipids,Glycerophosphoinositols,1.000,1.000,1.000,1188
Fatty acids,Glycerophospholipids,Glycerophosphoinositol phosphates,1.000,1.000,1.000,7
Fatty acids,Glycerophospholipids,Glycerophosphates,1.000,1.000,1.000,1198
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,1.000,1.000,1.000,666
Fatty acids,Glycerophospholipids,CDP-Glycerols,1.000,1.000,1.000,36
Fatty acids,Glycerophospholipids,Glycosylglycerophospholipids,1.000,1.000,1.000,5
Fatty acids,Glycerophospholipids,Glycerophosphoinositolglycans,1.000,1.000,1.000,113
Fatty acids,Glycerophospholipids,Oxidized glycerophospholipids,1.000,1.000,1.000,245
Fatty acids,Glycerophospholipids,Long-Chain Bicyclic Phosphotriester,1.000,1.000,1.000,30
Fatty acids,Sphingolipids,Acidic glycosphingolipids,1.000,1.000,1.000,13
Fatty acids,Fatty acyls,Resin glycosides,0.983,0.967,1.000,145
Fatty acids,Fatty acyls,Paraconic acids and derivatives,1.000,1.000,1.000,18
Fatty acids,Fatty acyls,Halogenated hydrocarbons,1.000,1.000,1.000,43
Fatty acids,Glycerolipids,Triacylglycerols,1.000,1.000,0.999,6889
Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,0.996,0.996,0.996,1336
Fatty acids,Glycerophospholipids,Glycerophosphoglycerols,0.998,1.000,0.996,1209
Fatty acids,Sphingolipids,Phosphosphingolipids,0.992,1.000,0.985,326
Fatty acids,Sphingolipids,Ceramides,0.987,1.000,0.975,200
Fatty acids,Glycerolipids,Diacylglycerols,0.987,1.000,0.974,570
Fatty acids,Fatty acyl glycosides,Ascarosides,0.983,1.000,0.967,152
Fatty acids,Sphingolipids,Neutral glycosphingolipids,0.982,1.000,0.966,143
Fatty acids,Fatty esters,Fatty acid estolides,0.981,1.000,0.963,123
Fatty acids,Fatty acyls,Fatty aldehydes,0.938,0.927,0.950,201
Fatty acids,Fatty Acids and Conjugates,Branched fatty acids,0.902,0.871,0.937,395
Fatty acids,Eicosanoids,Isoprostanes,0.900,0.871,0.931,38
Fatty acids,Fatty esters,Wax monoesters,0.952,0.977,0.929,905
Fatty acids,Glycerolipids,Glycosyldiacylglycerols,0.960,1.000,0.923,35
Fatty acids,Fatty Acids and Conjugates,Hydroperoxy fatty acids,0.957,1.000,0.917,27
Fatty acids,Fatty Acids and Conjugates,Heterocyclic fatty acids,0.957,1.000,0.917,60
Fatty acids,Fatty acyls,Oxygenated hydrocarbons,0.955,1.000,0.914,289
Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids),0.952,1.000,0.909,56
Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids,0.901,0.895,0.906,794
Fatty acids,Fatty Acids and Conjugates,Epoxy fatty acids,0.800,0.727,0.889,32
Fatty acids,Fatty Acids and Conjugates,Carbocyclic fatty acids,0.909,0.938,0.882,85
Fatty acids,Fatty amides,N-acyl amines,0.928,0.978,0.882,255
Fatty acids,Eicosanoids,Prostaglandins,0.900,0.947,0.857,167
Fatty acids,Fatty Acids and Conjugates,Amino fatty acids,0.882,0.938,0.833,40
Fatty acids,Fatty Acids and Conjugates,Oxo fatty acids,0.778,0.757,0.800,173
Fatty acids,Fatty Acids and Conjugates,Oxo fatty acids,0.778,0.757,0.800,173
Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids,0.851,0.909,0.800,121
Fatty acids,Octadecanoids,Jasmonic acids,0.889,1.000,0.800,11
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatetraenoic acids,0.842,0.889,0.800,52
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosapentaenoic acids,0.857,0.923,0.800,26
Fatty acids,Fatty esters,Cyano esters,0.889,1.000,0.800,24
Fatty acids,Sphingolipids,Sphingoid bases,0.889,1.000,0.800,77
Fatty acids,Fatty esters,Lactones,0.850,1.000,0.739,114
Fatty acids,Octadecanoids,Other Octadecanoids,0.795,0.917,0.702,238
Fatty acids,Docosanoids,Other Docosanoids,0.706,0.750,0.667,51
Fatty acids,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,0.778,1.000,0.636,56
Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids,0.772,1.000,0.629,291
Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids,0.772,1.000,0.629,291
Fatty acids,Eicosanoids,Other Eicosanoids,0.667,0.800,0.571,16
Fatty acids,Fatty amides,Primary amides,0.600,0.750,0.500,27
Fatty acids,Fatty acyls,Fatty nitriles,0.667,1.000,0.500,5
Fatty acids,Fatty esters,Wax diesters,0.500,1.000,0.333,19
Polyketides,Macrolides,Tylosins,0.923,0.857,1.000,60
Polyketides,Macrolides,Avermectins,1.000,1.000,1.000,169
Polyketides,Macrolides,Ascomycins and Rapamycins,1.000,1.000,1.000,88
Polyketides,Macrolides,Ascomycins and Rapamycins,1.000,1.000,1.000,88
Polyketides,Macrolides,Epothilones,1.000,1.000,1.000,63
Polyketides,Macrolides,Rhizoxins,1.000,1.000,1.000,8
Polyketides,Macrolides,Oligomycins,1.000,1.000,1.000,18
Polyketides,Macrolides,Bafilomycins,1.000,1.000,1.000,24
Polyketides,Macrolides,Macrolide lactams,1.000,1.000,1.000,35
Polyketides,Macrolides,Lactam bearing macrolide lactones,0.976,0.952,1.000,24
Polyketides,Macrolides,Enediynes,1.000,1.000,1.000,40
Polyketides,Macrolides,Bryostatins,1.000,1.000,1.000,18
Polyketides,Macrolides,Antimycins,1.000,1.000,1.000,48
Polyketides,Macrolides,Oxa-Bridged Macrolides,1.000,1.000,1.000,17
Polyketides,Macrolides,Macrocyclic tetramic acids,1.000,1.000,1.000,46
Polyketides,Linear polyketides,Linear tetronates,1.000,1.000,1.000,7
Polyketides,Linear polyketides,Elfamycins,1.000,1.000,1.000,10
Polyketides,Linear polyketides,3-oligoenoyltetramic acids,1.000,1.000,1.000,58
Polyketides,Linear polyketides,Linear polyenes,0.980,0.960,1.000,47
Polyketides,Linear polyketides,DKXanthenes and derivatives,1.000,1.000,1.000,13
Polyketides,Chromanes,Cytosporins,1.000,1.000,1.000,12
Polyketides,Cyclic polyketides,Decalins with 2-pyrones,1.000,1.000,1.000,14
Polyketides,Cyclic polyketides,3-Spirotetramic acids,1.000,1.000,1.000,22
Polyketides,Cyclic polyketides,Nonadrides,1.000,1.000,1.000,28
Polyketides,Alkylresorcinols,Monoalkylresorcinols,0.889,0.800,1.000,8
Polyketides,Alkylresorcinols,Dialkylresorcinols,1.000,1.000,1.000,47
Polyketides,Chromanes,Aflatoxins,1.000,1.000,1.000,68
Polyketides,Aromatic polyketides,Griseofulvins,1.000,1.000,1.000,36
Polyketides,Aromatic polyketides,Catechols with side chains,1.000,1.000,1.000,237
Polyketides,Aromatic polyketides,Aromatic polyketides with side chains,1.000,1.000,1.000,25
Polyketides,Aromatic polyketides,Simple aromatic polyketides,1.000,1.000,1.000,46
Polyketides,Aromatic polyketides,Luminacins and derivatives,1.000,1.000,1.000,12
Polyketides,Meroterpenoids,Cannabinoids,1.000,1.000,1.000,136
Polyketides,"Polycyclic aromatic
polyketides",Pradimicins,1.000,1.000,1.000,7
Polyketides,"Polycyclic aromatic
polyketides",Fasamycins and derivatives,1.000,1.000,1.000,35
Polyketides,"Polycyclic aromatic
polyketides",Benastatins and derivatives,1.000,1.000,1.000,9
Polyketides,Phloroglucinols,Phloroglucinol-terpene hybrids,1.000,1.000,1.000,35
Polyketides,Phloroglucinols,"Prenylated,geranylated phloroglucinols",1.000,1.000,1.000,34
Polyketides,Naphthalenes,Spirodioxynaphthalenes,1.000,1.000,1.000,70
Polyketides,Polyethers,Macrotetrolides,1.000,1.000,1.000,26
Polyketides,Tropolones,Tropolones and derivatives (PKS),1.000,1.000,1.000,31
Polyketides,Diphenyl ethers (DPEs),Fungal DPEs,0.964,0.931,1.000,48
Polyketides,Meroterpenoids,Triketide meroterpenoids,1.000,1.000,1.000,73
Polyketides,Meroterpenoids,Other polyketide meroterpenoids,1.000,1.000,1.000,24
Polyketides,Linear polyketides,Phoslactomycins or Phosphazomycins,1.000,1.000,1.000,28
Polyketides,Naphthalenes,Naphthalenones,1.000,1.000,1.000,30
Polyketides,"Polycyclic aromatic
polyketides",Ericamycins,1.000,1.000,1.000,28
Polyketides,Aromatic polyketides,Benzophenones,0.966,0.933,1.000,18
Polyketides,Macrolides,Boromycins,0.923,0.857,1.000,13
Polyketides,Macrolides,Aplysiatoxins,1.000,1.000,1.000,17
Polyketides,"Polycyclic aromatic
polyketides",Duclauxin and derivatives,1.000,1.000,1.000,23
Polyketides,Macrolides,Ansa macrolides,0.992,1.000,0.984,608
Polyketides,Meroterpenoids,"Polyprenylated cyclic polyketides (Hop
meroterpenoids)",0.992,1.000,0.984,303
Polyketides,Macrolides,Erythromycins,0.986,1.000,0.971,532
Polyketides,Aromatic polyketides,Depsides,0.985,1.000,0.971,342
Polyketides,Linear polyketides,Acetogenins,0.976,0.984,0.968,314
Polyketides,Aromatic polyketides,Depsidones,0.983,1.000,0.967,154
Polyketides,"Polycyclic aromatic
polyketides",Tetracyclines,0.978,1.000,0.957,124
Polyketides,Phloroglucinols,Acyl phloroglucinols,0.977,1.000,0.955,107
Polyketides,Phloroglucinols,Oligomeric phloroglucinols (phlorotannins),0.950,0.950,0.950,103
Polyketides,Macrolides,Spirotetronate macrolides,0.970,1.000,0.941,83
Polyketides,Aromatic polyketides,Sorbicilinoids,0.970,1.000,0.941,83
Polyketides,"Polycyclic aromatic
polyketides",Anthracyclines,0.970,1.000,0.941,186
Polyketides,Oligopeptides,Depsipeptides,0.960,0.985,0.937,671
Polyketides,Cyclic polyketides,2-pyrone derivatives,0.951,0.967,0.935,311
Polyketides,Aromatic polyketides,Usnic acid and derivatives,0.964,1.000,0.931,39
Polyketides,Cyclic polyketides,3-Decalinoyltetramic acids,0.960,1.000,0.923,67
Polyketides,Cyclic polyketides,4-pyrone derivatives,0.917,0.917,0.917,41
Polyketides,Polyethers,Ladder polyethers,0.957,1.000,0.917,58
Polyketides,Cyclic polyketides,Fungal cyclic polyketides (Miscellaneous),0.957,1.000,0.917,26
Polyketides,Macrolides,Polyene macrolides,0.947,1.000,0.900,154
Polyketides,Polyethers,Polyether ionophores,0.941,1.000,0.889,97
Polyketides,Chromanes,Azaphilones,0.929,1.000,0.867,305
Polyketides,Linear polyketides,Melithiazole and Myxothiazole derivatives,0.909,1.000,0.833,23
Polyketides,"Polycyclic aromatic
polyketides",Angucyclines,0.899,0.976,0.833,244
Polyketides,Aromatic polyketides,Strobilurins and derivatives,0.909,1.000,0.833,23
Polyketides,Aromatic polyketides,Benzoquinones,0.909,1.000,0.833,17
Polyketides,Xanthones,Methyl xanthones,0.900,1.000,0.818,163
Polyketides,Linear polyketides,3-acyl tetramic acids,0.897,1.000,0.813,74
Polyketides,Meroterpenoids,Tetraketide meroterpenoids,0.882,0.968,0.811,184
Polyketides,Linear polyketides,Open-chain polyketides,0.864,0.961,0.785,453
Polyketides,Cyclic polyketides,Phthalide derivatives,0.878,1.000,0.783,114
Polyketides,Phloroglucinols,Dimeric phloroglucinols,0.857,0.947,0.783,121
Polyketides,Cyclic polyketides,Monacolins and Monacolin derivatives,0.741,0.769,0.714,69
Polyketides,Macrolides,Macrolide lactones,0.821,1.000,0.696,116
Polyketides,Chromanes,Chromones,0.791,0.944,0.680,241
Polyketides,Naphthalenes,Bisnaphthalenes,0.800,1.000,0.667,142
